open,high,low,close,volume,date
80.4,83.34,79.93,81.22,298300.0,2022-12-01
81.47,82.22,79.65,79.98,260529.0,2022-12-02
79.99,82.72,76.77,76.93,330679.0,2022-12-05
77.35,77.88,73.41,74.25,359520.0,2022-12-06
74.55,75.38,71.75,72.01,360031.0,2022-12-07
72.38,75.44,71.12,71.46,440898.0,2022-12-08
71.85,72.92,70.08,71.02,324750.0,2022-12-09
71.79,73.99,70.25,73.17,294199.0,2022-12-12
73.29,76.37,73.21,75.39,322478.0,2022-12-13
75.27,77.75,74.9,77.28,267021.0,2022-12-14
77.37,77.77,75.33,76.11,205243.0,2022-12-15
76.37,76.57,73.33,74.29,81668.0,2022-12-16
74.5,76.42,73.81,75.19,37990.0,2022-12-19
75.7,76.75,74.31,76.09,13534.0,2022-12-20
75.99,78.61,75.8,78.29,222936.0,2022-12-21
78.43,79.9,77.03,77.49,208399.0,2022-12-22
78.18,80.33,77.98,79.56,219020.0,2022-12-23
79.9,81.18,79.16,79.53,186518.0,2022-12-27
79.89,79.92,77.3,78.96,194273.0,2022-12-28
78.82,78.82,76.79,78.4,184947.0,2022-12-29
78.73,80.67,77.71,80.26,191002.0,2022-12-30
80.57,81.5,76.6,76.93,322245.0,2023-01-03
77.25,77.42,72.73,72.84,330637.0,2023-01-04
73.25,74.92,72.46,73.67,281301.0,2023-01-05
73.97,75.47,73.24,73.77,236880.0,2023-01-06
73.47,76.74,73.47,74.63,297210.0,2023-01-09
74.86,75.92,73.84,75.12,275105.0,2023-01-10
74.78,77.84,74.31,77.41,320030.0,2023-01-11
77.7,79.16,77.1,78.39,276160.0,2023-01-12
78.32,80.11,77.97,79.86,245935.0,2023-01-13
78.84,81.23,78.68,80.18,284009.0,2023-01-17
80.97,82.38,78.94,79.48,73990.0,2023-01-18
79.14,81.18,78.13,80.33,33183.0,2023-01-19
80.6,81.64,79.69,81.31,13742.0,2023-01-20
81.79,82.64,81.05,81.62,280555.0,2023-01-23
81.62,82.22,79.66,80.13,269259.0,2023-01-24
80.26,81.23,79.45,80.15,284027.0,2023-01-25
80.48,82.14,79.92,81.01,276005.0,2023-01-26
81.22,82.48,79.04,79.68,349036.0,2023-01-27
80.04,80.49,77.66,77.9,308615.0,2023-01-30
77.91,79.25,76.55,78.87,292507.0,2023-01-31
79.06,79.73,76.05,76.41,335699.0,2023-02-01
76.79,77.24,74.97,75.88,318489.0,2023-02-02
75.92,78.0,73.1,73.39,394327.0,2023-02-03
73.23,74.51,72.25,74.11,361642.0,2023-02-06
74.57,77.6,74.35,77.14,369787.0,2023-02-07
77.49,78.57,77.08,78.47,322540.0,2023-02-08
78.45,78.84,76.52,78.06,296432.0,2023-02-09
77.68,80.33,77.47,79.72,316761.0,2023-02-10
79.94,80.62,78.45,80.14,271983.0,2023-02-13
79.06,79.61,77.46,79.06,279792.0,2023-02-14
78.83,79.15,77.25,78.59,240477.0,2023-02-15
78.54,79.54,77.92,78.49,101595.0,2023-02-16
78.07,78.25,75.06,76.34,66661.0,2023-02-17
77.11,77.4,75.69,76.16,20074.0,2023-02-21
